충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
성판악,제주특별자치도 제주시 조천읍 516로 1865,,1,단독,사용가능,2021
도남1차e편한세상아파트,제주특별자치도 제주시 오남로 7-13,,1,단독,사용가능,2021
민속자연사박물관,제주특별자치도 제주시 삼성로 40,,1,단독,충전중,2021
한라생태숲,제주특별자치도 제주시 516로 2596,,1,단독,사용가능,2021
제주특별자치도 인재개발원,제주특별자치도 제주시 산천단동길 26,,1,단독,사용가능,2021
외도부영2차아파트,제주특별자치도 제주시 우평로 318,,1,단독,사용가능,2021
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,,1,단독,사용가능,2021
설문대여성문화센터,제주특별자치도 제주시 선덕로 8길 12,,1,단독,사용가능,2021
봉개동 주민센터,제주특별자치도 제주시 봉개북1길 15,,1,단독,충전중,2021
추자면사무소,제주특별자치도 제주시 추자면 추자로 26,,1,단독,사용가능,2021
자치경찰단,제주특별자치도 제주시 기자길 7,,1,단독,사용가능,2021
환경성질환예방관리센터,제주특별자치도 제주시 구좌읍 다랑쉬북로 68-92,,1,단독,사용가능,2021
애월도서관,제주특별자치도 제주시 애월읍 일주서로 6339,,1,단독,사용가능,2021
제주현대미술관,제주특별자치도 제주시 한경면 저지리 2114-82,,1,단독,사용가능,2021
신천지아파트,제주특별자치도 제주시 천수로 72,,1,단독,사용가능,2021
서귀포천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,"제주특별자치도 서귀포시  남성중로 2-15, 천지연폭포 매표소 앞",1,단독,사용가능,2021
도남1차e편한세상아파트,제주특별자치도 제주시 오남로 7-13,제주특별자치도 제주시 오남로 7-13 도남1차e편한세상아파트,1,단독,사용가능,2021
